CELL_LINE_NAME,DRUG_NAME,AUC
HSC-3,Palbociclib,0.903366
LCLC-97TM1,Lapatinib,0.948285
RPMI-8866,Staurosporine,0.293089
Hs-746T,Crizotinib,0.713783
HH,Tamoxifen,0.950498
SISO,Osimertinib,0.982138
ASH-3,Tamoxifen,0.965025
COR-L279,Ulixertinib,0.981156
HSC-2,Vorinostat,0.855391
A204,MK-1775,0.807629
JVM-3,Crizotinib,0.966091
SK-MES-1,Gefitinib,0.93217
CESS,Nilotinib,0.931053
OVTOKO,Ruxolitinib,0.958908
FADU,Ulixertinib,0.92669
KM-H2,Leflunomide,0.9418290000000001
IM-9,Vorinostat,0.6408229999999999
NCI-H727,Osimertinib,0.9765149999999999
SNU-1040,Leflunomide,0.943901
BICR10,Linsitinib,0.953947
KYSE-50,Vinblastine,0.838778
23132-87,Leflunomide,0.8740600000000001
KMRC-20,Dabrafenib,0.964349
CL-40,Erlotinib,0.977234
DiFi,Ulixertinib,0.8849484999999999
MFM-223,Vinblastine,0.78701
TE-1,Linsitinib,0.923703
NCI-H526,Staurosporine,0.298537
SK-LU-1,Lapatinib,0.959882
WSU-NHL,Palbociclib,0.712971
SK-N-AS,Staurosporine,0.493302
BFTC-905,Navitoclax,0.9726540000000001
CHL-1,Osimertinib,0.836659
RT-112,Gefitinib,0.974894
COR-L32,Dabrafenib,0.9645819999999999
HCC1937,Sorafenib,0.93691
MN-60,Osimertinib,0.9773540000000001
KU812,Crizotinib,0.873851
LU-165,Ulixertinib,0.9284765
RERF-GC-1B,Ruxolitinib,0.965147
NCI-H1651,Palbociclib,0.983925
GDM-1,Tamoxifen,0.8459549999999999
U-698-M,Trametinib,0.986986
ES4,Osimertinib,0.931651
OVCAR-5,Gefitinib,0.9436100000000001
KYSE-180,Ulixertinib,0.974289
ARH-77,Erlotinib,0.9869680000000001
COR-L105,Leflunomide,0.859102
NCI-H1435,Erlotinib,0.990067
NCI-H810,Tamoxifen,0.923585
KYSE-520,Linsitinib,0.8898459999999999
PCI-30,Erlotinib,0.951067
DSH1,Navitoclax,0.774931
MEL-JUSO,Tamoxifen,0.955284
MCF7,Lapatinib,0.850583
MSTO-211H,Leflunomide,0.9025120000000001
SK-MEL-1,Tamoxifen,0.876022
DU-4475,Staurosporine,0.08759600000000001
OCUB-M,Osimertinib,0.8338969999999999
AsPC-1,Staurosporine,0.6130869999999999
CL-11,Navitoclax,0.6410020000000001
G-402,Trametinib,0.857676
MOLP-8,Tamoxifen,0.9649
SW837,Leflunomide,0.883639
NCI-H1651,Dasatinib,0.953569
PL4,Nilotinib,0.965684
EC-GI-10,Lapatinib,0.660397
NCI-H1568,Crizotinib,0.9689469999999999
PF-382,Crizotinib,0.9926459999999999
LN-18,MK-1775,0.742019
A375,Vorinostat,0.765947
ME-180,MK-1775,0.705395
SNU-398,Nilotinib,0.956126
MEG-01,Lapatinib,0.9567459999999999
Becker,Tamoxifen,0.9557059999999999
ESS-1,Ulixertinib,0.9395775
Calu-3,Tamoxifen,0.8013279999999999
KE-37,Tamoxifen,0.83505
MLMA,Gefitinib,0.9884799999999999
H4,Staurosporine,0.11846300000000001
TE-4,Nilotinib,0.9936809999999999
HuO9,Linsitinib,0.908907
OCI-M1,Navitoclax,0.47450200000000003
CESS,Afatinib,0.8312649999999999
SK-MEL-24,Sorafenib,0.942348
HARA,Linsitinib,0.873315
OVCAR-4,Leflunomide,0.8387889999999999
ALL-SIL,MK-1775,0.611414
A673,Osimertinib,0.9611930000000001
SF268,Afatinib,0.87677
SKG-IIIa,Tamoxifen,0.938623
LN-18,Navitoclax,0.859711
LU-165,Dabrafenib,0.983358
Calu-6,Ulixertinib,0.7737605000000001
VM-CUB-1,Tamoxifen,0.9473729999999999
A204,Ruxolitinib,0.9424600000000001
MDA-MB-453,Staurosporine,0.5032369999999999
LNCaP-Clone-FGC,Palbociclib,0.791391
OCI-AML5,Linsitinib,0.9195770000000001
ST486,Navitoclax,0.640885
BT-483,Dabrafenib,0.960082
KYSE-450,Crizotinib,0.9875229999999999
EW-11,Navitoclax,0.70713
A498,Ruxolitinib,0.969211
HCC-44,Lapatinib,0.903108
GP5d,Erlotinib,0.975735
SW872,Afatinib,0.918919
SKN-3,Crizotinib,0.988389
SBC-3,Dabrafenib,0.950627
HuCCT1,Vinblastine,0.743736
LN-18,Vorinostat,0.781034
TCCSUP,Ulixertinib,0.9594600000000001
8505C,Ulixertinib,0.895106
HL-60,Lapatinib,0.8673850000000001
EB-3,Nilotinib,0.934003
NCI-H2722,Linsitinib,0.9218639999999999
P31-FUJ,Gefitinib,0.984541
Ca9-22,Crizotinib,0.990567
NOS-1,Tamoxifen,0.909795
MV-4-11,Nilotinib,0.9934280000000001
HARA,Leflunomide,0.91138
SW1116,Vinblastine,0.9689
CML-T1,MK-1775,0.5601649999999999
A253,Vinblastine,0.850016
SK-MES-1,Linsitinib,0.977633
HT-3,Lapatinib,0.9587319999999999
MHH-PREB-1,Palbociclib,0.81513
KURAMOCHI,Staurosporine,0.362576
SKG-IIIa,Crizotinib,0.9754370000000001
HDQ-P1,Linsitinib,0.8664870000000001
NAMALWA,Daporinad,0.319234
JURL-MK1,Ruxolitinib,0.933103
JJN-3,Sorafenib,0.755988
IGROV-1,Dabrafenib,0.8968389999999999
MOLT-13,Erlotinib,0.987203
HCC-78,Vinblastine,0.770534
NCI-H1963,Vorinostat,0.644408
SNU-61,Tamoxifen,0.964134
OPM-2,Dasatinib,0.967802
PA-1,Nilotinib,0.988317
SK-LU-1,Vorinostat,0.9274190000000001
M059J,Afatinib,0.877524
TT2609-C02,Sorafenib,0.938055
MFE-296,Tamoxifen,0.9208
SUP-M2,Leflunomide,0.8006810000000001
C2BBe1,Vinblastine,0.899072
U-87-MG,Ruxolitinib,0.945247
ECC10,Crizotinib,0.9920129999999999
ASH-3,MK-1775,0.8493200000000001
Hs-445,Dasatinib,0.9357709999999999
G-361,Staurosporine,0.5572560000000001
MS-1,Vinblastine,0.74122
OACM5-1,Staurosporine,0.5420729999999999
NCI-H1975,Gefitinib,0.942836
NCI-H841,Crizotinib,0.987568
MFH-ino,Osimertinib,0.9460649999999999
MFM-223,Tamoxifen,0.9390459999999999
OVCA420,Gefitinib,0.723379
YH-13,Vinblastine,0.535153
OSC-20,Dabrafenib,0.975722
CHP-134,MK-1775,0.603175
TC-71,Ulixertinib,0.9552655000000001
8-MG-BA,Staurosporine,0.131691
A2780,Ulixertinib,0.741295
K-562,Staurosporine,0.66872
IM-9,Nilotinib,0.933109
NCI-H520,Dasatinib,0.8824870000000001
NCI-H2170,Afatinib,0.41055
NCI-H1792,Gefitinib,0.9864120000000001
NCI-H1651,Ruxolitinib,0.9775010000000001
H4,Vinblastine,0.542998
KU812,Linsitinib,0.9187120000000001
LB831-BLC,Dabrafenib,0.9869399999999999
BICR22,Linsitinib,0.9684209999999999
LN-18,Osimertinib,0.982824
U-2-OS,Crizotinib,0.9849629999999999
NCI-H2141,Leflunomide,0.9017709999999999
MKN28,Vorinostat,0.8310350000000001
Calu-6,Linsitinib,0.945807
WM-115,Ulixertinib,0.9155545
RT-112,Ulixertinib,0.8774885
Saos-2,Trametinib,0.981783
GP5d,Ulixertinib,0.9099235000000001
IMR-5,Crizotinib,0.972268
HO-1-u-1,Navitoclax,0.7790600000000001
EJM,Trametinib,0.990668
NCI-N87,Leflunomide,0.865892
MOLT-13,Crizotinib,0.9900200000000001
TE-15,Ruxolitinib,0.979726
RO82-W-1,Vorinostat,0.8770290000000001
SK-OV-3,Osimertinib,0.842562
BE-13,Vinblastine,0.45786099999999996
IA-LM,Sorafenib,0.890292
SF268,Staurosporine,0.309625
HuP-T4,Afatinib,0.9336979999999999
SAS,Dabrafenib,0.9389850000000001
8305C,Crizotinib,0.985943
LU-165,Afatinib,0.8665510000000001
AGS,Ruxolitinib,0.979159
MOG-G-CCM,Staurosporine,0.229271
NCI-H2595,Afatinib,0.922991
NCI-H226,Navitoclax,0.961683
NCI-H2369,Gefitinib,0.9778399999999999
COLO-829,Linsitinib,0.9504819999999999
OVISE,Nilotinib,0.9854620000000001
MDST8,Nilotinib,0.985281
SKG-IIIa,Osimertinib,0.9051600000000001
NCI-H661,Leflunomide,0.925091
NCI-H522,Trametinib,0.9729399999999999
SN12C,Erlotinib,0.9407120000000001
RERF-GC-1B,Lapatinib,0.9089719999999999
LU-65,MK-1775,0.642914
CAPAN-2,Staurosporine,0.588399
CAL-54,MK-1775,0.609563
LC-1-sq,Navitoclax,0.875609
HOS,Ruxolitinib,0.979941
Ca-Ski,Leflunomide,0.884438
LS-411N,Nilotinib,0.977059
ES1,Erlotinib,0.9342520000000001
SU-DHL-6,Sorafenib,0.8894049999999999
TGW,Navitoclax,0.22680999999999998
SK-GT-4,Daporinad,0.622209
IHH-4,Gefitinib,0.9873360000000001
OCI-AML2,Vinblastine,0.424117
A101D,Staurosporine,0.34860399999999997
HT-29,Linsitinib,0.8432930000000001
H-EMC-SS,Trametinib,0.839319
RCM-1,Daporinad,0.688667
A4-Fuk,Palbociclib,0.798331
MKN45,Erlotinib,0.9811719999999999
ES7,Staurosporine,0.344303
OCUM-1,Staurosporine,0.633598
AMO-1,Vorinostat,0.646066
ECC10,Dabrafenib,0.986809
VA-ES-BJ,Palbociclib,0.9175979999999999
MKN45,Gefitinib,0.981341
COLO-680N,Sorafenib,0.966292
KYAE-1,Osimertinib,0.734194
NCI-H1869,Sorafenib,0.930966
WIL2-NS,MK-1775,0.512636
SNU-1040,MK-1775,0.642237
KNS-62,Palbociclib,0.9466379999999999
MDST8,Linsitinib,0.939116
GDM-1,Vorinostat,0.624347
YH-13,Osimertinib,0.951997
CAL-85-1,Ribociclib,0.989318
CAL-51,Ribociclib,0.989611
GA-10,Osimertinib,0.9606399999999999
NH-12,Lapatinib,0.943916
Ramos-2G6-4C10,Sorafenib,0.9203120000000001
SCC-9,Erlotinib,0.9316450000000001
HLE,Daporinad,0.5383439999999999
ESO51,Linsitinib,0.9481
BPH-1,Crizotinib,0.9825520000000001
A2780,Dasatinib,0.9769909999999999
NCI-H2731,Sorafenib,0.864865
D-263MG,Palbociclib,0.9280440000000001
OVKATE,Linsitinib,0.9479059999999999
C-33-A,Palbociclib,0.941025
SLVL,Erlotinib,0.990871
LN-229,Osimertinib,0.9266629999999999
PL18,Sorafenib,0.910414
HCC-15,Nilotinib,0.9515120000000001
NCI-H2342,Ulixertinib,0.969018
SW684,Afatinib,0.911842
NCI-H847,Erlotinib,0.97039
CAL-120,Dasatinib,0.807682
LAMA-84,Dasatinib,0.016849
NB(TU)1-10,Sorafenib,0.850934
TE-1,Tamoxifen,0.92381
KYSE-70,Tamoxifen,0.929319
KINGS-1,Sorafenib,0.970741
G-401,Ulixertinib,0.7592574999999999
BE2-M17,Staurosporine,0.384915
MG-63,Navitoclax,0.811359
NCI-H1915,Crizotinib,0.977217
ALL-SIL,Osimertinib,0.9709479999999999
KARPAS-620,Trametinib,0.8278530000000001
NCI-H2373,Lapatinib,0.9203389999999999
NCI-H209,Tamoxifen,0.9328360000000001
ALL-SIL,Gefitinib,0.9843139999999999
LK-2,Linsitinib,0.945736
SK-MEL-2,Daporinad,0.792455
Detroit562,MK-1775,0.628698
KYSE-140,MK-1775,0.561962
COLO-678,Tamoxifen,0.9378860000000001
MES-SA,Vorinostat,0.8403139999999999
ECC10,Leflunomide,0.896473
NCI-H2722,Gefitinib,0.963142
ES7,Lapatinib,0.869081
A549,Erlotinib,0.9292819999999999
SUP-T1,Ruxolitinib,0.983977
KMS-12-BM,Sorafenib,0.7782319999999999
NCI-H720,Vinblastine,0.89876
OCUM-1,Vorinostat,0.764366
A704,Dabrafenib,0.966518
NCI-H1666,Tamoxifen,0.884386
LNCaP-Clone-FGC,Afatinib,0.784724
NCI-H596,Sorafenib,0.938809
OCI-AML3,Leflunomide,0.82357
C-33-A,Linsitinib,0.96394
A101D,Navitoclax,0.811701
A375,Dabrafenib,0.22456399999999999
NCI-H2405,Dabrafenib,0.873044
OCI-M1,Tamoxifen,0.893465
SKN-3,MK-1775,0.7171270000000001
CHP-134,Navitoclax,0.543489
HL-60,Trametinib,0.505019
EW-24,Ruxolitinib,0.9676520000000001
NCI-H196,Lapatinib,0.984253
KMS-12-BM,Erlotinib,0.9456389999999999
NCI-H1355,Tamoxifen,0.9594940000000001
DAN-G,Osimertinib,0.9709040000000001
CAL-39,Vinblastine,0.5278729999999999
WM35,Vorinostat,0.708044
SF539,Afatinib,0.864275
G-401,Sorafenib,0.836144
CAPAN-2,Daporinad,0.580468
KM-H2,Dabrafenib,0.9879049999999999
KYSE-270,Ruxolitinib,0.9779959999999999
OC-314,Ulixertinib,0.9545875
Calu-3,Gefitinib,0.9353959999999999
NCI-H3118,Staurosporine,0.253893
KE-37,Osimertinib,0.965577
SW1463,Trametinib,0.472943
SK-MM-2,Nilotinib,0.9930959999999999
IHH-4,MK-1775,0.634126
WM793B,Lapatinib,0.8750129999999999
LoVo,Vinblastine,0.6341100000000001
NCI-H1650,Staurosporine,0.40219299999999997
M14,Trametinib,0.17287
NCI-H1993,Linsitinib,0.9230360000000001
HuO-3N1,Vorinostat,0.8913780000000001
MS-1,Trametinib,0.99425
SK-MEL-2,Erlotinib,0.991506
NCI-H2818,Gefitinib,0.971038
HDLM-2,Erlotinib,0.9176860000000001
SW1116,Trametinib,0.608325
BICR78,Navitoclax,0.848735
8-MG-BA,Nilotinib,0.9790459999999999
DEL,Gefitinib,0.9854930000000001
ARH-77,Osimertinib,0.9873280000000001
HO-1-N-1,Vinblastine,0.520055
A2058,Crizotinib,0.996439
NCI-H2373,Dabrafenib,0.968467
MN-60,Daporinad,0.485009
SK-MES-1,Lapatinib,0.889078
COLO-829,Gefitinib,0.958775
NCI-H720,Leflunomide,0.871922
SLVL,Staurosporine,0.251456
KYSE-140,Ulixertinib,0.9260825
NCI-H2461,Dabrafenib,0.961572
NCI-H2722,Leflunomide,0.907906
SUP-B15,Sorafenib,0.8290350000000001
TT2609-C02,Dabrafenib,0.955683
Mo-T,Tamoxifen,0.965777
HCC1428,Erlotinib,0.9646100000000001
NB(TU)1-10,Dabrafenib,0.9203540000000001
ES1,Vorinostat,0.7610399999999999
CHSA8926,Osimertinib,0.984682
COR-L32,Vinblastine,0.7901130000000001
COLO-678,Staurosporine,0.812501
CAPAN-1,Vorinostat,0.8912629999999999
SK-MEL-2,Palbociclib,0.994741
NCI-H1355,Ulixertinib,0.9091345
NCI-H1651,Osimertinib,0.961591
OE19,Vinblastine,0.624149
G-401,Tamoxifen,0.8296899999999999
OE19,Erlotinib,0.935635
Ca9-22,Vorinostat,0.735462
SNU-C5,Linsitinib,0.957448
H9,Leflunomide,0.7527590000000001
NCI-H1648,MK-1775,0.636709
D-263MG,Sorafenib,0.9121229999999999
TGW,Daporinad,0.4421350000000001
IM-95,Ulixertinib,0.9214319999999999
YH-13,Crizotinib,0.968735
Daudi,Gefitinib,0.993763
RH-41,Gefitinib,0.9767299999999999
ES5,Leflunomide,0.903982
ES4,Sorafenib,0.9520850000000001
KYSE-180,Lapatinib,0.8821979999999999
TCCSUP,Crizotinib,0.982648
OAW-28,MK-1775,0.793036
LB996-RCC,Trametinib,0.9252670000000001
TK10,Crizotinib,0.981475
NALM-6,Daporinad,0.257818
SK-MES-1,Tamoxifen,0.961147
JSC-1,Palbociclib,0.75703
SNU-449,Palbociclib,0.935061
GCT,Dasatinib,0.784827
AMO-1,Sorafenib,0.8516819999999999
VCaP,Erlotinib,0.9809950000000001
WM793B,MK-1775,0.653526
DOK,Osimertinib,0.755323
HCC70,Vinblastine,0.897647
NCI-H1876,Linsitinib,0.9074260000000001
SK-MG-1,Gefitinib,0.9835079999999999
HL-60,Vinblastine,0.424108
COR-L311,Crizotinib,0.9963
TE-5,Tamoxifen,0.9392870000000001
WM35,Sorafenib,0.784315
MV-4-11,Dasatinib,0.9693200000000001
NCI-H1869,Gefitinib,0.8643930000000001
ARH-77,Palbociclib,0.904249
GI-1,Nilotinib,0.9552799999999999
NCI-H2347,Tamoxifen,0.9436030000000001
Caov-4,Linsitinib,0.961292
NCI-H209,Nilotinib,0.9893639999999999
HOP-92,Dasatinib,0.944332
MG-63,Erlotinib,0.968852
GAK,Palbociclib,0.9499780000000001
SCC-4,Staurosporine,0.4300810000000001
NCI-H1792,Staurosporine,0.19480899999999998
SF539,Crizotinib,0.9874860000000001
CS1,Linsitinib,0.956758
COLO-205,Dabrafenib,0.6293850000000001
RPMI-6666,Linsitinib,0.9584879999999999
RPMI-7951,Vinblastine,0.513704
HCC1500,Palbociclib,0.9864299999999999
NCI-H513,Navitoclax,0.9715729999999999
RH-1,MK-1775,0.437971
NCI-H2405,Ulixertinib,0.757574
OCI-AML5,Navitoclax,0.389208
BE2-M17,Lapatinib,0.852778
NCI-H2731,Palbociclib,0.93285
NCI-H716,Staurosporine,0.191878
SAS,Linsitinib,0.92114
CL-40,Vorinostat,0.7400760000000001
SNG-M,Crizotinib,0.995152
MIA-PaCa-2,Daporinad,0.7691979999999999
NB7,Daporinad,0.627473
OCI-M1,Vinblastine,0.515329
Becker,Sorafenib,0.9151020000000001
NB69,Dasatinib,0.63767
CAL-148,Lapatinib,0.96193
NCI-H1299,Ulixertinib,0.9023965
TK10,Osimertinib,0.883691
LU-135,Trametinib,0.96409
BE2-M17,Sorafenib,0.8657530000000001
KYSE-50,Linsitinib,0.954614
NCI-H1435,Ulixertinib,0.9264575
NCI-H358,Ulixertinib,0.852183
RPMI-6666,Nilotinib,0.965735
GRANTA-519,Staurosporine,0.46604399999999996
Hs-766T,Vinblastine,0.903747
NCI-N87,Dabrafenib,0.947857
UMC-11,Crizotinib,0.988441
SNU-16,Vorinostat,0.7738
HDQ-P1,Erlotinib,0.8323520000000001
SNU-5,Trametinib,0.660513
NCI-H2347,Navitoclax,0.810176
MKN28,Leflunomide,0.8457809999999999
LC-1-sq,Linsitinib,0.970676
CL-40,Osimertinib,0.9722069999999999
KYM-1,MK-1775,0.504919
786-0,Vinblastine,0.687558
KCL-22,Gefitinib,0.9898809999999999
LB771-HNC,Ruxolitinib,0.957491
SUP-M2,Erlotinib,0.9453020000000001
AMO-1,Tamoxifen,0.8562120000000001
