CELL_LINE_NAME,DRUG_NAME,False AUC,AUC
MDA-MB-436,Tamoxifen,0.986973,0.966082
EFO-21,Leflunomide,0.932911,0.9036360000000001
OVCAR-4,Dabrafenib,0.9597129999999999,0.983033
PWR-1E,Afatinib,0.977599,0.888368
HCT-116,Linsitinib,0.6036590000000001,0.959935
SW780,Ulixertinib,0.959283,0.9224485
YAPC,Crizotinib,0.971968,0.989374
U-118-MG,Afatinib,0.7948850000000001,0.9073479999999999
SUP-HD1,Gefitinib,0.934047,0.971931
BICR10,Nilotinib,0.989859,0.9725010000000001
D-283MED,Dabrafenib,0.94999,0.9887030000000001
PEO1,Erlotinib,0.957197,0.9483600000000001
HARA,Lapatinib,0.74283,0.7941729999999999
OACp4C,Linsitinib,0.9447700000000001,0.720741
OACp4C,Ruxolitinib,0.419886,0.9742299999999999
EW-24,Vinblastine,0.925823,0.857627
769-P,Daporinad,0.939926,0.7820630000000001
BV-173,Ulixertinib,0.963534,0.88956
SK-ES-1,Vinblastine,0.81619,0.579431
HuP-T4,Vinblastine,0.8038609999999999,0.9259059999999999
CAMA-1,Vinblastine,0.148352,0.905266
NCI-H727,Trametinib,0.8928520000000001,0.44428199999999995
OPM-2,Tamoxifen,0.9233,0.976815
NCI-H196,Crizotinib,0.973448,0.992265
SAS,Erlotinib,0.977118,0.8659030000000001
PSN1,Lapatinib,0.867732,0.949032
SW1271,Erlotinib,0.981341,0.971268
NY,Ulixertinib,0.9616520000000001,0.85024
D-283MED,Ruxolitinib,0.9727709999999999,0.967973
CHL-1,Sorafenib,0.9058579999999999,0.940959
K-562,Nilotinib,0.74456,0.421809
MOG-G-UVW,Trametinib,0.8617889999999999,0.884035
CA46,Erlotinib,0.889401,0.9388719999999999
MOLT-4,Tamoxifen,0.7479,0.961125
NCI-H2141,Staurosporine,0.9783290000000001,0.494478
SK-MG-1,Osimertinib,0.720741,0.957569
NCI-H716,MK-1775,0.875483,0.6555439999999999
CAL-29,Navitoclax,0.9346235,0.818555
MKN28,Ruxolitinib,0.993583,0.962714
SNU-423,Sorafenib,0.782748,0.942205
CAMA-1,Afatinib,0.903489,0.954993
CESS,Trametinib,0.8816620000000001,0.9487120000000001
BxPC-3,Daporinad,0.9520549999999999,0.793866
HuP-T3,Lapatinib,0.911172,0.923323
TK10,Tamoxifen,0.976292,0.9664739999999999
REH,Daporinad,0.939732,0.277468
JHH-1,Erlotinib,0.9677319999999999,0.9085690000000001
P30-OHK,Navitoclax,0.94495,0.754498
HDQ-P1,Ruxolitinib,0.9850639999999999,0.981403
P32-ISH,Crizotinib,0.984036,0.905309
A549,Gefitinib,0.941402,0.946758
NUGC-3,Osimertinib,0.7560439999999999,0.8791180000000001
SU-DHL-8,Sorafenib,0.951515,0.907898
T84,Afatinib,0.9897870000000001,0.8879049999999999
TGBC24TKB,Vorinostat,0.893998,0.7602979999999999
LS-123,Osimertinib,0.548872,0.902019
NCI-H1666,Ruxolitinib,0.877915,0.9626549999999999
SUP-HD1,Sorafenib,0.9716950000000001,0.88397
ECC12,Leflunomide,0.987074,0.830101
MC-CAR,Erlotinib,0.9027620000000001,0.9894799999999999
HSC-3,Linsitinib,0.98556,0.9698540000000001
SNG-M,Linsitinib,0.98169,0.9892719999999999
Saos-2,Osimertinib,0.850934,0.9837450000000001
NCI-H2135,Ruxolitinib,0.652149,0.955564
SK-MM-2,Leflunomide,0.961017,0.768536
SKG-IIIa,Lapatinib,0.9627700000000001,0.894127
COR-L32,Vorinostat,0.5616869999999999,0.6547350000000001
CAL-33,Ulixertinib,0.9825719999999999,0.9348285
MRK-nu-1,Dasatinib,0.98414,0.9817629999999999
COR-L88,Erlotinib,0.9829129999999999,0.9797680000000001
MDA-MB-436,Lapatinib,0.94631,0.9616790000000001
NUGC-3,Ulixertinib,0.9899459999999999,0.9075924999999999
RCC10RGB,Staurosporine,0.985525,0.39615700000000004
SW1463,Staurosporine,0.8060609999999999,0.648278
IST-MEL1,Gefitinib,0.925459,0.978612
COLO-320-HSR,Dasatinib,0.964349,0.985176
MSTO-211H,Staurosporine,0.7629020000000001,0.549121
NCI-H1435,Dasatinib,0.964623,0.975211
NCI-H3118,Ruxolitinib,0.588305,0.9812
EoL-1-cell,Palbociclib,0.640289,0.920017
OV-90,Vinblastine,0.606943,0.767297
NCI-H1688,Erlotinib,0.033973,0.946678
PANC-08-13,Palbociclib,0.985927,0.976234
MKN1,Leflunomide,0.920075,0.9170940000000001
SNU-449,Tamoxifen,0.64772,0.905977
COLO-668,Erlotinib,0.771455,0.9652440000000001
OVCA420,Erlotinib,0.9195770000000001,0.687271
NCI-H2087,Nilotinib,0.852504,0.9573729999999999
UACC-257,Tamoxifen,0.9058799999999999,0.9369219999999999
LU-135,Crizotinib,0.9667030000000001,0.994123
DMS-114,Trametinib,0.9228959999999999,0.97431
SCC-4,Ruxolitinib,0.936067,0.971349
MDA-MB-361,Vorinostat,0.9569340000000001,0.801599
ATN-1,Lapatinib,0.9357690000000001,0.94934
SU-DHL-6,Nilotinib,0.90612,0.962634
HCC1395,Staurosporine,0.9174530000000001,0.211669
MLMA,Dabrafenib,0.957996,0.984109
TCCSUP,MK-1775,0.9297139999999999,0.667127
IST-MEL1,Daporinad,0.9386680000000001,0.712465
G-292-Clone-A141B1,Crizotinib,0.599146,0.988132
OACp4C,Osimertinib,0.8360185,0.9583299999999999
HCC-827,Erlotinib,0.943967,0.502491
EPLC-272H,Osimertinib,0.8877360000000001,0.902272
8305C,Afatinib,0.9841129999999999,0.856735
K5,Trametinib,0.9128870000000001,0.6459060000000001
YAPC,Vinblastine,0.8766299999999999,0.9291459999999999
PL18,Daporinad,0.779432,0.7050489999999999
KYSE-150,Linsitinib,0.9446180000000001,0.951981
NB12,Daporinad,0.9427780000000001,0.5868270000000001
SUP-B15,Dabrafenib,0.984484,0.929111
CAL-120,Staurosporine,0.920464,0.525358
EW-3,Leflunomide,0.9764889999999999,0.9066629999999999
RL95-2,Vinblastine,0.980037,0.619475
PL4,Ulixertinib,0.8233600000000001,0.8619600000000001
GAMG,MK-1775,0.971347,0.7077899999999999
OAW-28,Ruxolitinib,0.897862,0.976475
HCT-116,Ulixertinib,0.950168,0.6727765
KYSE-520,Erlotinib,0.8763850000000001,0.740923
NAMALWA,Nilotinib,0.9218639999999999,0.9858549999999999
OVCAR-3,Nilotinib,0.974908,0.989131
CAL-29,Staurosporine,0.7627729999999999,0.403469
OACp4C,Dabrafenib,0.856123,0.9838899999999999
RH-1,Leflunomide,0.892546,0.890175
G-292-Clone-A141B1,MK-1775,0.9545875,0.899144
SW780,Ruxolitinib,0.844743,0.9137770000000001
OV-56,Osimertinib,0.5532229999999999,0.9800459999999999
NCI-H1435,Osimertinib,0.911781,0.9882059999999999
Hey,Vorinostat,0.815187,0.795417
GAMG,Staurosporine,0.78962,0.172299
DOHH-2,Afatinib,0.9631700000000001,0.945739
NALM-6,Lapatinib,0.952667,0.899474
NCI-H2085,Linsitinib,0.8573069999999999,0.9697479999999999
BC-1,Erlotinib,0.8426389999999999,0.988461
SW1783,Dabrafenib,0.9376200000000001,0.9421219999999999
A4-Fuk,Ulixertinib,0.9370799999999999,0.6692600000000001
OC-314,Erlotinib,0.9392469999999999,0.9740690000000001
RF-48,Ulixertinib,0.9438489999999999,0.985549
MIA-PaCa-2,Trametinib,0.984532,0.8369780000000001
NB7,Afatinib,0.935565,0.913149
IGROV-1,Ruxolitinib,0.987287,0.9146620000000001
SK-MEL-2,Vorinostat,0.889451,0.778251
SNU-407,Leflunomide,0.802071,0.861353
LS-123,Daporinad,0.938161,0.734394
786-0,Palbociclib,0.702676,0.8736510000000001
SK-HEP-1,Leflunomide,0.9214319999999999,0.925509
PFSK-1,Gefitinib,0.9880540000000001,0.9589989999999999
BFTC-905,Leflunomide,0.7471760000000001,0.921842
JURL-MK1,Dasatinib,0.810986,0.017684000000000002
GI-1,Trametinib,0.981441,0.9917860000000001
YAPC,MK-1775,0.921182,0.758709
A101D,Osimertinib,0.41936599999999996,0.9820190000000001
NCI-H28,Palbociclib,0.8782200000000001,0.7841640000000001
Hey,Linsitinib,0.836664,0.957255
ME-180,Tamoxifen,0.95255,0.9226139999999999
KMOE-2,Ruxolitinib,0.967802,0.9908389999999999
NY,Palbociclib,0.8466110000000001,0.978849
EJM,Osimertinib,0.910998,0.9864120000000001
K-562,Afatinib,0.664045,0.8880879999999999
UMC-11,Osimertinib,0.991241,0.970993
P30-OHK,Dasatinib,0.8536440000000001,0.8982020000000001
OSC-20,Ruxolitinib,0.986454,0.962987
PANC-10-05,Ulixertinib,0.948565,0.8400555000000001
NCI-H3122,Afatinib,0.9836469999999999,0.874041
SW13,Trametinib,0.8397399999999999,0.815112
YAPC,Staurosporine,0.889207,0.525386
UACC-893,Staurosporine,0.9795940000000001,0.472051
SU-DHL-5,Trametinib,0.47845,0.981295
HLE,Navitoclax,0.937884,0.7733720000000001
CW-2,Linsitinib,0.990426,0.948543
COLO-829,Nilotinib,0.6708189999999999,0.94991
KYSE-520,MK-1775,0.893465,0.7552949999999999
ES8,Osimertinib,0.981701,0.9394100000000001
ESS-1,Vinblastine,0.982406,0.573968
CAL-33,Dasatinib,0.659886,0.7794260000000001
PWR-1E,Lapatinib,0.8409629999999999,0.977316
NOS-1,Trametinib,0.7912,0.9174049999999999
D-392MG,Staurosporine,0.86211,0.237997
NCI-H1793,Tamoxifen,0.983842,0.92004
ECC10,Ruxolitinib,0.922582,0.9893799999999999
MDA-MB-436,Afatinib,0.845341,0.9636530000000001
CAL-85-1,Daporinad,0.9784729999999999,0.642303
SK-GT-2,Linsitinib,0.7642479999999999,0.985426
NCI-H1688,Palbociclib,0.909436,0.9844360000000001
NCI-H520,Leflunomide,0.689963,0.917818
RPMI-7951,Crizotinib,0.8877120000000001,0.9722040000000001
8505C,Tamoxifen,0.908148,0.902633
KYM-1,Sorafenib,0.9886440000000001,0.873627
YT,Vorinostat,0.891893,0.7512300000000001
HH,MK-1775,0.903115,0.9068290000000001
IM-9,Vinblastine,0.253801,0.287918
Hey,Leflunomide,0.8474360000000001,0.789884
NCI-H1623,Staurosporine,0.9920260000000001,0.469996
C-4-I,Vinblastine,0.9850129999999999,0.709914
SCC-4,Nilotinib,0.77467,0.990732
BHT-101,Osimertinib,0.896725,0.973117
A2780,Osimertinib,0.969842,0.8878209999999999
NCI-H1793,Ulixertinib,0.980296,0.9225245000000001
NCI-H841,Sorafenib,0.9881629999999999,0.8685149999999999
BE2-M17,MK-1775,0.860864,0.641009
COLO-829,Osimertinib,0.879367,0.934485
