CELL_LINE_NAME,DRUG_NAME,False AUC,AUC
MDA-MB-436,Tamoxifen,0.972008,0.966082
EFO-21,Leflunomide,0.8139350000000001,0.903636
OVCAR-4,Dabrafenib,0.764526,0.983033
PWR-1E,Afatinib,0.982961,0.888368
HCT-116,Linsitinib,0.27617,0.959935
SW780,Ulixertinib,0.9188594999999999,0.9224485
YAPC,Crizotinib,0.8714930000000001,0.989374
U-118-MG,Afatinib,0.988715,0.907348
SUP-HD1,Gefitinib,0.962571,0.971931
BICR10,Nilotinib,0.981894,0.972501
D-283MED,Dabrafenib,0.543446,0.988703
PEO1,Erlotinib,0.419259,0.94836
HARA,Lapatinib,0.797776,0.7941729999999999
OACp4C,Linsitinib,0.978194,0.720741
OACp4C,Ruxolitinib,0.942642,0.97423
EW-24,Vinblastine,0.904643,0.857627
769-P,Daporinad,0.899474,0.7820630000000001
BV-173,Ulixertinib,0.782388,0.88956
SK-ES-1,Vinblastine,0.810638,0.579431
HuP-T4,Vinblastine,0.988199,0.925906
CAMA-1,Vinblastine,0.980296,0.905266
NCI-H727,Trametinib,0.952543,0.444282
OPM-2,Tamoxifen,0.897992,0.976815
NCI-H196,Crizotinib,0.94318,0.992265
SAS,Erlotinib,0.903763,0.8659030000000001
PSN1,Lapatinib,0.837672,0.949032
SW1271,Erlotinib,0.905539,0.971268
NY,Ulixertinib,0.9961,0.85024
D-283MED,Ruxolitinib,0.896647,0.967973
CHL-1,Sorafenib,0.535909,0.940959
K-562,Nilotinib,0.953826,0.421809
MOG-G-UVW,Trametinib,0.433133,0.884035
CA46,Erlotinib,0.399865,0.938872
MOLT-4,Tamoxifen,0.970268,0.961125
NCI-H2141,Staurosporine,0.991786,0.494478
SK-MG-1,Osimertinib,0.867685,0.957569
NCI-H716,MK-1775,0.7391979999999999,0.6555439999999999
CAL-29,Navitoclax,0.984502,0.818555
MKN28,Ruxolitinib,0.975167,0.962714
SNU-423,Sorafenib,0.802059,0.942205
CAMA-1,Afatinib,0.8931549999999999,0.954993
CESS,Trametinib,0.4104680000000001,0.948712
BxPC-3,Daporinad,0.6277550000000001,0.793866
HuP-T3,Lapatinib,0.894999,0.923323
TK10,Tamoxifen,0.562379,0.966474
REH,Daporinad,0.779619,0.277468
JHH-1,Erlotinib,0.952658,0.908569
P30-OHK,Navitoclax,0.907141,0.754498
HDQ-P1,Ruxolitinib,0.8833799999999999,0.981403
P32-ISH,Crizotinib,0.750128,0.905309
A549,Gefitinib,0.6457930000000001,0.946758
NUGC-3,Osimertinib,0.975117,0.8791180000000001
SU-DHL-8,Sorafenib,0.930773,0.907898
T84,Afatinib,0.915055,0.8879049999999999
TGBC24TKB,Vorinostat,0.987132,0.7602979999999999
LS-123,Osimertinib,0.99085,0.902019
NCI-H1666,Ruxolitinib,0.99204,0.962655
SUP-HD1,Sorafenib,0.8826940000000001,0.88397
ECC12,Leflunomide,0.123718,0.830101
MC-CAR,Erlotinib,0.989493,0.98948
HSC-3,Linsitinib,0.5601649999999999,0.969854
SNG-M,Linsitinib,0.8624700000000001,0.989272
Saos-2,Osimertinib,0.942013,0.983745
NCI-H2135,Ruxolitinib,0.711956,0.955564
SK-MM-2,Leflunomide,0.944784,0.768536
SKG-IIIa,Lapatinib,0.765316,0.894127
COR-L32,Vorinostat,0.888446,0.6547350000000001
CAL-33,Ulixertinib,0.706678,0.9348285
MRK-nu-1,Dasatinib,0.80355,0.981763
COR-L88,Erlotinib,0.83636,0.979768
MDA-MB-436,Lapatinib,0.945263,0.961679
NUGC-3,Ulixertinib,0.731122,0.9075925
RCC10RGB,Staurosporine,0.899372,0.396157
SW1463,Staurosporine,0.992509,0.648278
IST-MEL1,Gefitinib,0.915805,0.978612
COLO-320-HSR,Dasatinib,0.976147,0.985176
MSTO-211H,Staurosporine,0.576025,0.549121
NCI-H1435,Dasatinib,0.988895,0.975211
NCI-H3118,Ruxolitinib,0.949856,0.9812
EoL-1-cell,Palbociclib,0.866614,0.920017
OV-90,Vinblastine,0.281163,0.767297
NCI-H1688,Erlotinib,0.919427,0.946678
PANC-08-13,Palbociclib,0.5606220000000001,0.976234
MKN1,Leflunomide,0.969089,0.917094
SNU-449,Tamoxifen,0.20892,0.905977
COLO-668,Erlotinib,0.584233,0.965244
OVCA420,Erlotinib,0.811959,0.687271
NCI-H2087,Nilotinib,0.957208,0.957373
UACC-257,Tamoxifen,0.82847,0.936922
LU-135,Crizotinib,0.933602,0.994123
DMS-114,Trametinib,0.7691979999999999,0.97431
SCC-4,Ruxolitinib,0.912552,0.971349
MDA-MB-361,Vorinostat,0.8473,0.801599
ATN-1,Lapatinib,0.953865,0.94934
SU-DHL-6,Nilotinib,0.772307,0.962634
HCC1395,Staurosporine,0.885223,0.211669
MLMA,Dabrafenib,0.735057,0.984109
TCCSUP,MK-1775,0.961495,0.667127
IST-MEL1,Daporinad,0.284982,0.712465
G-292-Clone-A141B1,Crizotinib,0.957782,0.988132
OACp4C,Osimertinib,0.961355,0.95833
HCC-827,Erlotinib,0.675611,0.502491
EPLC-272H,Osimertinib,0.957169,0.902272
8305C,Afatinib,0.47168,0.856735
K5,Trametinib,0.8409530000000001,0.6459060000000001
YAPC,Vinblastine,0.961292,0.929146
PL18,Daporinad,0.941552,0.7050489999999999
KYSE-150,Linsitinib,0.905323,0.951981
NB12,Daporinad,0.989293,0.5868270000000001
SUP-B15,Dabrafenib,0.992646,0.929111
CAL-120,Staurosporine,0.8622549999999999,0.525358
EW-3,Leflunomide,0.989131,0.906663
RL95-2,Vinblastine,0.994282,0.619475
PL4,Ulixertinib,0.392248,0.8619600000000001
GAMG,MK-1775,0.910917,0.7077899999999999
OAW-28,Ruxolitinib,0.956637,0.976475
HCT-116,Ulixertinib,0.982349,0.6727765
KYSE-520,Erlotinib,0.979268,0.740923
NAMALWA,Nilotinib,0.7784939999999999,0.985855
OVCAR-3,Nilotinib,0.8526819999999999,0.989131
CAL-29,Staurosporine,0.946687,0.403469
OACp4C,Dabrafenib,0.930789,0.98389
RH-1,Leflunomide,0.950848,0.890175
G-292-Clone-A141B1,MK-1775,0.89786,0.899144
SW780,Ruxolitinib,0.983052,0.913777
OV-56,Osimertinib,0.842951,0.980046
NCI-H1435,Osimertinib,0.792629,0.988206
Hey,Vorinostat,0.7063699999999999,0.795417
GAMG,Staurosporine,0.921574,0.172299
DOHH-2,Afatinib,0.99048,0.945739
NALM-6,Lapatinib,0.986635,0.899474
NCI-H2085,Linsitinib,0.973159,0.969748
BC-1,Erlotinib,0.952895,0.988461
SW1783,Dabrafenib,0.996247,0.942122
A4-Fuk,Ulixertinib,0.97832,0.6692600000000001
OC-314,Erlotinib,0.8742549999999999,0.974069
RF-48,Ulixertinib,0.86192,0.985549
MIA-PaCa-2,Trametinib,0.924744,0.8369780000000001
NB7,Afatinib,0.951432,0.913149
IGROV-1,Ruxolitinib,0.774317,0.914662
SK-MEL-2,Vorinostat,0.721416,0.778251
SNU-407,Leflunomide,0.542112,0.861353
LS-123,Daporinad,0.6933020000000001,0.734394
786-0,Palbociclib,0.6059899999999999,0.8736510000000001
SK-HEP-1,Leflunomide,0.973491,0.925509
PFSK-1,Gefitinib,0.27410300000000004,0.958999
BFTC-905,Leflunomide,0.955909,0.921842
JURL-MK1,Dasatinib,0.990414,0.017684000000000002
GI-1,Trametinib,0.975444,0.991786
YAPC,MK-1775,0.995932,0.758709
A101D,Osimertinib,0.873458,0.982019
