CELL_LINE_NAME,DRUG_NAME,False AUC,AUC
HSC-3,Palbociclib,0.964179,0.903366
LCLC-97TM1,Lapatinib,0.951777,0.948285
RPMI-8866,Staurosporine,0.986909,0.293089
Hs-746T,Crizotinib,0.885976,0.713783
HH,Tamoxifen,0.790926,0.950498
SISO,Osimertinib,0.542964,0.982138
ASH-3,Tamoxifen,0.975848,0.965025
COR-L279,Ulixertinib,0.88855,0.9811559999999999
HSC-2,Vorinostat,0.975101,0.855391
A204,MK-1775,0.740608,0.807629
JVM-3,Crizotinib,0.964529,0.966091
SK-MES-1,Gefitinib,0.644429,0.93217
CESS,Nilotinib,0.988687,0.931053
OVTOKO,Ruxolitinib,0.85882,0.958908
FADU,Ulixertinib,0.956209,0.92669
KM-H2,Leflunomide,0.924027,0.941829
IM-9,Vorinostat,0.9393125,0.6408229999999999
NCI-H727,Osimertinib,0.866655,0.976515
SNU-1040,Leflunomide,0.878483,0.943901
BICR10,Linsitinib,0.786755,0.953947
KYSE-50,Vinblastine,0.861505,0.838778
23132-87,Leflunomide,0.967931,0.8740600000000001
KMRC-20,Dabrafenib,0.8351540000000001,0.964349
CL-40,Erlotinib,0.973051,0.977234
DiFi,Ulixertinib,0.879942,0.8849484999999999
MFM-223,Vinblastine,0.929319,0.78701
TE-1,Linsitinib,0.944332,0.923703
NCI-H526,Staurosporine,0.959283,0.298537
SK-LU-1,Lapatinib,0.37642,0.959882
WSU-NHL,Palbociclib,0.885465,0.712971
SK-N-AS,Staurosporine,0.987314,0.493302
BFTC-905,Navitoclax,0.908569,0.972654
CHL-1,Osimertinib,0.8990450000000001,0.836659
RT-112,Gefitinib,0.897234,0.974894
COR-L32,Dabrafenib,0.976881,0.964582
HCC1937,Sorafenib,0.8804620000000001,0.93691
MN-60,Osimertinib,0.96461,0.977354
KU812,Crizotinib,0.948514,0.873851
LU-165,Ulixertinib,0.565104,0.9284764999999999
RERF-GC-1B,Ruxolitinib,0.960764,0.965147
NCI-H1651,Palbociclib,0.720729,0.983925
GDM-1,Tamoxifen,0.979389,0.8459549999999999
U-698-M,Trametinib,0.7407239999999999,0.986986
ES4,Osimertinib,0.950384,0.931651
OVCAR-5,Gefitinib,0.941204,0.94361
KYSE-180,Ulixertinib,0.959439,0.974289
ARH-77,Erlotinib,0.23469,0.986968
COR-L105,Leflunomide,0.866374,0.859102
NCI-H1435,Erlotinib,0.7994829999999999,0.990067
NCI-H810,Tamoxifen,0.89641,0.923585
KYSE-520,Linsitinib,0.911858,0.8898459999999999
PCI-30,Erlotinib,0.90646,0.951067
DSH1,Navitoclax,0.993531,0.774931
MEL-JUSO,Tamoxifen,0.81807,0.955284
MCF7,Lapatinib,0.960753,0.850583
MSTO-211H,Leflunomide,0.991092,0.902512
SK-MEL-1,Tamoxifen,0.842384,0.876022
DU-4475,Staurosporine,0.91576,0.08759600000000001
OCUB-M,Osimertinib,0.792867,0.8338969999999999
AsPC-1,Staurosporine,0.860772,0.6130869999999999
CL-11,Navitoclax,0.872706,0.6410020000000001
G-402,Trametinib,0.345383,0.857676
MOLP-8,Tamoxifen,0.917306,0.9649
SW837,Leflunomide,0.968683,0.883639
NCI-H1651,Dasatinib,0.929087,0.953569
PL4,Nilotinib,0.961158,0.965684
EC-GI-10,Lapatinib,0.965227,0.660397
NCI-H1568,Crizotinib,0.932189,0.968947
PF-382,Crizotinib,0.987214,0.992646
LN-18,MK-1775,0.935396,0.742019
A375,Vorinostat,0.98164,0.765947
ME-180,MK-1775,0.384691,0.705395
SNU-398,Nilotinib,0.904055,0.956126
MEG-01,Lapatinib,0.976506,0.956746
Becker,Tamoxifen,0.8741469999999999,0.955706
ESS-1,Ulixertinib,0.7435149999999999,0.9395775
Calu-3,Tamoxifen,0.506306,0.8013279999999999
KE-37,Tamoxifen,0.710026,0.83505
MLMA,Gefitinib,0.8592719999999999,0.98848
H4,Staurosporine,0.853678,0.118463
TE-4,Nilotinib,0.936972,0.993681
HuO9,Linsitinib,0.971812,0.908907
OCI-M1,Navitoclax,0.72864,0.474502
CESS,Afatinib,0.986002,0.8312649999999999
SK-MEL-24,Sorafenib,0.989243,0.942348
HARA,Linsitinib,0.667751,0.873315
OVCAR-4,Leflunomide,0.970116,0.8387889999999999
ALL-SIL,MK-1775,0.984329,0.611414
A673,Osimertinib,0.987054,0.961193
SF268,Afatinib,0.154422,0.87677
SKG-IIIa,Tamoxifen,0.7391979999999999,0.938623
LN-18,Navitoclax,0.936978,0.859711
LU-165,Dabrafenib,0.962983,0.983358
Calu-6,Ulixertinib,0.934293,0.7737605000000001
VM-CUB-1,Tamoxifen,0.934054,0.947373
A204,Ruxolitinib,0.870444,0.94246
MDA-MB-453,Staurosporine,0.966924,0.5032369999999999
LNCaP-Clone-FGC,Palbociclib,0.978153,0.791391
OCI-AML5,Linsitinib,0.966253,0.919577
ST486,Navitoclax,0.9899370000000001,0.640885
BT-483,Dabrafenib,0.260311,0.960082
KYSE-450,Crizotinib,0.809619,0.987523
EW-11,Navitoclax,0.93329,0.70713
A498,Ruxolitinib,0.472051,0.969211
HCC-44,Lapatinib,0.555529,0.903108
GP5d,Erlotinib,0.90396,0.975735
SW872,Afatinib,0.7741939999999999,0.918919
SKN-3,Crizotinib,0.985037,0.988389
SBC-3,Dabrafenib,0.982275,0.950627
HuCCT1,Vinblastine,0.737679,0.743736
LN-18,Vorinostat,0.490253,0.781034
TCCSUP,Ulixertinib,0.970226,0.95946
8505C,Ulixertinib,0.971349,0.895106
HL-60,Lapatinib,0.920243,0.8673850000000001
EB-3,Nilotinib,0.8531285,0.934003
NCI-H2722,Linsitinib,0.783698,0.921864
P31-FUJ,Gefitinib,0.535909,0.984541
Ca9-22,Crizotinib,0.596951,0.990567
NOS-1,Tamoxifen,0.890266,0.909795
MV-4-11,Nilotinib,0.945807,0.993428
HARA,Leflunomide,0.941115,0.91138
SW1116,Vinblastine,0.89515,0.9689
CML-T1,MK-1775,0.991885,0.5601649999999999
A253,Vinblastine,0.881439,0.850016
SK-MES-1,Linsitinib,0.951978,0.977633
HT-3,Lapatinib,0.92475,0.958732
MHH-PREB-1,Palbociclib,0.901402,0.81513
KURAMOCHI,Staurosporine,0.75643,0.362576
SKG-IIIa,Crizotinib,0.981035,0.975437
