CELL_LINE_NAME,DRUG_NAME,AUC
SW684,MK-1775,0.898552
MC-CAR,Sorafenib,0.754855
AU565,Trametinib,0.990525
NCI-H2029,Ulixertinib,0.9715229999999999
RCC10RGB,MK-1775,0.694967
NCI-H1993,Vinblastine,0.666212
BFTC-905,Afatinib,0.878064
ETK-1,Ulixertinib,0.9648525
ES1,Linsitinib,0.653434
HCC1187,Linsitinib,0.9569190000000001
LS-180,Gefitinib,0.9656170000000001
Hs-746T,Staurosporine,0.399156
SW1417,Ulixertinib,0.78918
OVCA420,Dabrafenib,0.9582360000000001
C-4-I,Ruxolitinib,0.957182
ONS-76,Linsitinib,0.97036
MDA-MB-157,Leflunomide,0.856532
NEC8,Navitoclax,0.9859829999999999
RPMI-6666,Daporinad,0.6213390000000001
MES-SA,Staurosporine,0.356126
KELLY,Gefitinib,0.9861049999999999
HT-3,Gefitinib,0.966384
LK-2,Leflunomide,0.835208
NCI-H1581,Vorinostat,0.735985
MDST8,Palbociclib,0.8882399999999999
HCC-78,Nilotinib,0.9824209999999999
KP-1N,Nilotinib,0.9342969999999999
HCC2998,Navitoclax,0.773332
NCI-H1048,Dabrafenib,0.985713
NUGC-4,MK-1775,0.8261930000000001
WM35,Navitoclax,0.9758680000000001
CAL-148,Dasatinib,0.9688379999999999
HCC1143,Nilotinib,0.948191
NCI-H1092,Navitoclax,0.655799
PC-14,Osimertinib,0.533875
RERF-LC-Sq1,Staurosporine,0.394933
HCC2218,Palbociclib,0.9331379999999999
COLO-824,Sorafenib,0.899172
DSH1,Trametinib,0.8577790000000001
CFPAC-1,Osimertinib,0.919108
MKN45,Trametinib,0.5835600000000001
BICR10,Tamoxifen,0.926969
D-283MED,Osimertinib,0.9269850000000001
IM-95,Afatinib,0.8822270000000001
EFM-19,Navitoclax,0.78573
LB831-BLC,Osimertinib,0.9888790000000001
UACC-257,Ruxolitinib,0.9775860000000001
NCI-H1651,Leflunomide,0.87071
SKG-IIIa,Palbociclib,0.9737370000000001
VMRC-RCZ,Erlotinib,0.9579200000000001
JIMT-1,Navitoclax,0.7864140000000001
SW982,Leflunomide,0.911975
SNU-C2B,Dasatinib,0.9019440000000001
KMRC-20,Trametinib,0.9562370000000001
Daoy,Tamoxifen,0.979809
TGBC1TKB,Linsitinib,0.9634389999999999
SCC-15,Nilotinib,0.986469
DB,Lapatinib,0.8244739999999999
HCC1937,Palbociclib,0.980532
SLVL,Navitoclax,0.621192
EoL-1-cell,Tamoxifen,0.898436
EGI-1,Nilotinib,0.9825229999999999
C2BBe1,Nilotinib,0.912643
EW-3,Ruxolitinib,0.9849459999999999
PC-3,MK-1775,0.860875
G-402,Vorinostat,0.8362620000000001
SKG-IIIa,Erlotinib,0.9677530000000001
G-292-Clone-A141B1,Staurosporine,0.301852
NCI-H847,Gefitinib,0.990079
JHH-6,Leflunomide,0.8808299999999999
HeLa,Afatinib,0.9746360000000001
Daudi,Tamoxifen,0.9888629999999999
OV-90,Navitoclax,0.784671
ESO51,Gefitinib,0.9750489999999999
BV-173,Linsitinib,0.956375
CAPAN-2,Dasatinib,0.669409
CL-34,Ruxolitinib,0.9693579999999999
EW-24,Dabrafenib,0.961829
HCC38,Gefitinib,0.983326
ML-2,Dabrafenib,0.971885
HT-1197,Afatinib,0.913485
CAL-62,Tamoxifen,0.928444
LN-405,Afatinib,0.9654510000000001
UACC-812,Daporinad,0.939926
MHH-CALL-2,Trametinib,0.979406
SCC-9,Leflunomide,0.794111
FU97,Vinblastine,0.721716
PA-TU-8988T,Crizotinib,0.9892639999999999
H-EMC-SS,Nilotinib,0.98219
HT-144,Sorafenib,0.79055
NCI-H1666,Nilotinib,0.979766
CHSA8926,Palbociclib,0.984683
Daudi,Dabrafenib,0.924817
NCI-H211,Nilotinib,0.959195
PANC-03-27,Palbociclib,0.9393040000000001
UACC-257,Dasatinib,0.9581139999999999
NCI-H1299,Sorafenib,0.9011049999999999
SKN,Dasatinib,0.687347
MFM-223,Ribociclib,0.9204459999999999
SW1088,Tamoxifen,0.9209139999999999
EC-GI-10,Trametinib,0.776617
OAW-42,Dasatinib,0.840934
EW-24,Linsitinib,0.8799290000000001
NCI-H250,Crizotinib,0.97583
CADO-ES1,Crizotinib,0.9831639999999999
AN3-CA,Navitoclax,0.650362
M059J,Sorafenib,0.9206850000000001
NCI-H1693,Lapatinib,0.8744190000000001
ATN-1,Linsitinib,0.872455
KATOIII,Erlotinib,0.954463
5637,Dabrafenib,0.961615
IA-LM,Ulixertinib,0.897114
ES1,Lapatinib,0.860102
NCI-H82,Staurosporine,0.370787
SK-GT-4,Vinblastine,0.77959
DMS-114,Osimertinib,0.957851
KELLY,Linsitinib,0.966424
SW1088,Osimertinib,0.9437
PANC-04-03,Nilotinib,0.963461
RCC10RGB,Lapatinib,0.7107439999999999
KM12,Nilotinib,0.9712139999999999
LoVo,Gefitinib,0.898775
Ramos-2G6-4C10,Ulixertinib,0.9977010000000001
Hs-746T,MK-1775,0.7181109999999999
NCI-H2227,Afatinib,0.984642
VAL,Gefitinib,0.990426
VMRC-LCD,Leflunomide,0.866614
SW1116,Palbociclib,0.9812069999999999
SW982,Daporinad,0.693503
TC-YIK,Ulixertinib,0.8487435000000001
HuO-3N1,Dabrafenib,0.9698450000000001
WSU-NHL,Dabrafenib,0.802296
HuCCT1,Afatinib,0.8020079999999999
TE-9,Ruxolitinib,0.988233
PA-TU-8902,Palbociclib,0.9113389999999999
TGW,Nilotinib,0.9897440000000001
C3A,Vorinostat,0.7689239999999999
HCC1395,Erlotinib,0.9681860000000001
ES1,Dabrafenib,0.9678100000000001
C-4-I,Dasatinib,0.9063110000000001
RPMI-7951,Lapatinib,0.8662489999999999
HCC1599,Staurosporine,0.307278
SW1573,Linsitinib,0.954624
TE-6,Crizotinib,0.984507
PC-14,Staurosporine,0.25914899999999996
GB-1,Navitoclax,0.850886
KE-37,Leflunomide,0.8824270000000001
UACC-812,Trametinib,0.969526
OVCAR-3,Crizotinib,0.991783
DiFi,Staurosporine,0.333762
EW-22,Ulixertinib,0.968527
TOV-21G,Ulixertinib,0.9119415000000001
BT-474,Vinblastine,0.8392870000000001
SNU-398,Ruxolitinib,0.9758479999999999
FTC-133,Gefitinib,0.941565
MOLM-13,Lapatinib,0.883295
HCC1500,Crizotinib,0.9779040000000001
FTC-133,Vorinostat,0.820153
JVM-2,Palbociclib,0.72016
SU-DHL-10,Erlotinib,0.980542
CHP-134,Nilotinib,0.9746530000000001
NCI-H596,Ruxolitinib,0.979462
MDA-MB-453,Linsitinib,0.938908
Hs-578-T,Sorafenib,0.856433
SW13,Tamoxifen,0.9371389999999999
RPMI-6666,Ulixertinib,0.908607
RCM-1,Staurosporine,0.5062180000000001
BxPC-3,Dabrafenib,0.950656
SK-LU-1,Trametinib,0.8376309999999999
EPLC-272H,MK-1775,0.5007050000000001
LB831-BLC,Gefitinib,0.9842299999999999
NB69,Sorafenib,0.872906
H9,Linsitinib,0.960599
NCI-H2373,Osimertinib,0.947881
RF-48,Nilotinib,0.9916659999999999
IGROV-1,Dasatinib,0.520343
SK-UT-1,Palbociclib,0.9822639999999999
NY,Navitoclax,0.858662
AM-38,Crizotinib,0.95539
DB,Gefitinib,0.835749
CHP-212,Linsitinib,0.8999520000000001
HCC1419,Trametinib,0.9843799999999999
UACC-812,Afatinib,0.772934
KMOE-2,Ulixertinib,0.7420795
OCI-AML2,Staurosporine,0.019433000000000002
MFM-223,Trametinib,0.8619479999999999
NCI-H524,Afatinib,0.7884359999999999
VCaP,MK-1775,0.855115
NCI-H1341,Navitoclax,0.388278
KYM-1,Gefitinib,0.98969
NCI-H1623,Ruxolitinib,0.95045
C2BBe1,Navitoclax,0.731342
HO-1-u-1,Gefitinib,0.850168
LCLC-97TM1,Leflunomide,0.922582
ARH-77,Nilotinib,0.9502790000000001
WIL2-NS,Vorinostat,0.761201
RPMI-7951,Staurosporine,0.066434
DK-MG,Afatinib,0.8385600000000001
A549,Crizotinib,0.9755860000000001
TK10,Ulixertinib,0.9133065
WM1552C,Vinblastine,0.686415
SW1271,Sorafenib,0.9519799999999999
8-MG-BA,Navitoclax,0.8994840000000001
NCI-H1694,Ulixertinib,0.9133040000000001
HDLM-2,Gefitinib,0.9875370000000001
PANC-03-27,Staurosporine,0.305415
U251,Lapatinib,0.9739680000000001
SAT,Sorafenib,0.916209
UACC-62,Nilotinib,0.946743
LOUCY,Staurosporine,0.322329
OPM-2,Vorinostat,0.7300760000000001
EPLC-272H,Palbociclib,0.965411
Ramos-2G6-4C10,Dabrafenib,0.997508
OVCAR-5,Erlotinib,0.9630709999999999
G-292-Clone-A141B1,Erlotinib,0.970268
Ramos-2G6-4C10,Trametinib,0.9964799999999999
P12-ICHIKAWA,Osimertinib,0.934686
NCI-H2461,Tamoxifen,0.950874
NCI-H1793,Navitoclax,0.8082050000000001
U251,Leflunomide,0.957197
SNU-C1,Linsitinib,0.835883
BT-474,MK-1775,0.8677889999999999
SW1990,Linsitinib,0.962219
HCT-116,Vorinostat,0.753946
647-V,Osimertinib,0.970268
SW948,Vinblastine,0.6693560000000001
SNU-16,Palbociclib,0.8581209999999999
OE21,Afatinib,0.7069340000000001
MONO-MAC-6,Afatinib,0.69115
SiHa,Osimertinib,0.9467629999999999
SW1088,Crizotinib,0.988891
LoVo,Ulixertinib,0.7701085000000001
TOV-112D,Dabrafenib,0.9824200000000001
NCI-H1299,Linsitinib,0.9733450000000001
NCI-H1781,Tamoxifen,0.94345
RO82-W-1,Dabrafenib,0.9683700000000001
SU8686,Staurosporine,0.592853
KMRC-20,Vorinostat,0.8004399999999999
NCI-H2818,Vorinostat,0.768666
KU-19-19,MK-1775,0.594576
RPMI-6666,Trametinib,0.9151229999999999
LAMA-84,Nilotinib,0.111989
FTC-133,Erlotinib,0.9442709999999999
EW-24,Palbociclib,0.917093
SK-OV-3,Navitoclax,0.9708190000000001
HOP-92,Linsitinib,0.926326
WM-115,Tamoxifen,0.9627620000000001
RC-K8,Linsitinib,0.9773959999999999
YH-13,Lapatinib,0.953369
WM35,Gefitinib,0.965807
KYM-1,Dabrafenib,0.9839680000000001
LCLC-103H,Tamoxifen,0.9620270000000001
BICR22,Afatinib,0.88836
IHH-4,Ulixertinib,0.8380200000000001
TGBC11TKB,MK-1775,0.520096
U-266,Crizotinib,0.993973
Hey,Sorafenib,0.844824
DMS-114,Dasatinib,0.982834
NCI-H1993,Leflunomide,0.8960040000000001
SK-MES-1,Ruxolitinib,0.983226
HSC-3,Staurosporine,0.090548
SK-N-AS,Daporinad,0.652807
NCI-H661,Palbociclib,0.9806299999999999
DoTc2-4510,Afatinib,0.776158
Mo-T,MK-1775,0.8744379999999999
PANC-10-05,Osimertinib,0.9497530000000001
HAL-01,Vorinostat,0.7509979999999999
PA-1,Linsitinib,0.9124770000000001
MSTO-211H,Daporinad,0.855223
NCI-H2141,Tamoxifen,0.963628
LU-135,Navitoclax,0.34165700000000004
EW-18,Staurosporine,0.242892
PA-TU-8902,Leflunomide,0.882391
SNU-182,Staurosporine,0.261748
SK-MEL-2,Vinblastine,0.6886439999999999
U-2-OS,Osimertinib,0.959316
U-698-M,Tamoxifen,0.8270049999999999
A673,Crizotinib,0.9881059999999999
NY,MK-1775,0.646676
EMC-BAC-2,Crizotinib,0.977198
SK-N-AS,Tamoxifen,0.9505610000000001
H-EMC-SS,Gefitinib,0.977693
CaR-1,Vorinostat,0.736202
Calu-6,MK-1775,0.6188859999999999
HH,Daporinad,0.539393
HCT-15,Staurosporine,0.262276
EFM-192A,Dasatinib,0.975167
NEC8,Tamoxifen,0.979158
ZR-75-30,Tamoxifen,0.9346030000000001
HCC-44,Trametinib,0.670983
MFE-319,Trametinib,0.957123
NCI-H810,Staurosporine,0.537207
LS-411N,Ruxolitinib,0.983126
HCC1143,Leflunomide,0.879893
RT-112,Crizotinib,0.990553
HSC-2,MK-1775,0.784021
AM-38,Vorinostat,0.756781
JiyoyeP-2003,Tamoxifen,0.837158
CAL-33,Navitoclax,0.763684
KINGS-1,Staurosporine,0.730524
KMRC-1,Staurosporine,0.329276
NCI-H1793,Vorinostat,0.934808
SW948,MK-1775,0.6130899999999999
LC-1-sq,Tamoxifen,0.965007
SK-N-FI,MK-1775,0.669281
DU-4475,Afatinib,0.896725
U-266,Gefitinib,0.9875360000000001
CGTH-W-1,Vinblastine,0.980118
CAL-51,Navitoclax,0.7880060000000001
ML-2,Tamoxifen,0.936458
SK-LMS-1,Dasatinib,0.9350120000000001
GCT,Erlotinib,0.979827
huH-1,Lapatinib,0.918425
WM1552C,Trametinib,0.83868
SK-LU-1,Linsitinib,0.956226
HuP-T4,Ruxolitinib,0.9629459999999999
NCI-H209,Erlotinib,0.929534
ACHN,Staurosporine,0.60582
JVM-2,Dabrafenib,0.693292
NCI-H1781,Linsitinib,0.936659
SW982,Linsitinib,0.976377
Becker,Leflunomide,0.9372860000000001
UACC-62,Erlotinib,0.9731129999999999
ML-2,Linsitinib,0.849932
HC-1,Nilotinib,0.995763
PCI-30,MK-1775,0.7907930000000001
SNG-M,Afatinib,0.858569
HCC1143,Gefitinib,0.949105
Saos-2,Gefitinib,0.984583
HDQ-P1,Tamoxifen,0.942717
KYM-1,Ruxolitinib,0.98519
SK-LMS-1,Navitoclax,0.864721
SK-N-AS,MK-1775,0.603662
RPMI-7951,Ulixertinib,0.9211055
HEC-1,Navitoclax,0.673701
SUP-M2,Staurosporine,0.220964
PA-TU-8988T,Osimertinib,0.9252540000000001
Calu-3,Dasatinib,0.96241
SNU-16,Sorafenib,0.740495
NCI-H716,Afatinib,0.9083479999999999
IMR-5,Leflunomide,0.7063699999999999
OVCAR-8,MK-1775,0.580558
NCI-H1341,Nilotinib,0.985825
AsPC-1,Ruxolitinib,0.9512290000000001
EM-2,Afatinib,0.8940870000000001
Ca9-22,Nilotinib,0.984678
CFPAC-1,Ulixertinib,0.8833095
SAS,Vorinostat,0.698228
RD,Gefitinib,0.979915
SNU-C1,Vinblastine,0.90917
NCI-H1341,Gefitinib,0.973295
OAW-42,Linsitinib,0.963041
MRK-nu-1,Vorinostat,0.899235
OAW-42,Navitoclax,0.8215520000000001
TGW,Linsitinib,0.871172
LU-139,MK-1775,0.738066
P12-ICHIKAWA,Dabrafenib,0.9584280000000001
IGR-1,Crizotinib,0.994568
SIMA,Linsitinib,0.8737450000000001
SAT,Tamoxifen,0.9301959999999999
CAL-29,Dabrafenib,0.970966
HCC1806,Sorafenib,0.9265690000000001
697,Vorinostat,0.641763
SW620,Lapatinib,0.975
MDA-MB-231,MK-1775,0.760522
MRK-nu-1,Afatinib,0.887007
HMV-II,Navitoclax,0.9618459999999999
WM35,Tamoxifen,0.8742969999999999
HLE,Staurosporine,0.28870300000000004
ONS-76,MK-1775,0.7666350000000001
BB49-HNC,Palbociclib,0.7825270000000001
23132-87,Linsitinib,0.947126
U-266,Linsitinib,0.960571
OVISE,Ulixertinib,0.9387485000000001
VMRC-LCD,Ruxolitinib,0.9741
IHH-4,Afatinib,0.894244
HC-1,Lapatinib,0.952729
NCI-H2452,Tamoxifen,0.83475
PA-1,Sorafenib,0.8428059999999999
COLO-824,Osimertinib,0.911781
NCI-H2461,Vinblastine,0.859049
HT-1376,Ulixertinib,0.9342315000000001
HT-3,Vorinostat,0.8892399999999999
CL-34,Leflunomide,0.8661549999999999
AMO-1,Trametinib,0.813044
KYSE-150,Osimertinib,0.9116049999999999
BL-41,Dasatinib,0.9746389999999999
KYSE-50,MK-1775,0.71168
A204,Vorinostat,0.848582
SK-LU-1,Leflunomide,0.8865629999999999
SK-ES-1,Osimertinib,0.972001
KCL-22,Sorafenib,0.8713110000000001
HOS,Ulixertinib,0.8945639999999999
NCI-H1915,Sorafenib,0.895367
697,Trametinib,0.9572639999999999
NCI-H2122,Nilotinib,0.974835
SNU-175,Leflunomide,0.9165770000000001
NCI-H1963,Trametinib,0.9821700000000001
KG-1,MK-1775,0.68662
LS-411N,Navitoclax,0.792629
NCI-H1975,Linsitinib,0.9104200000000001
HCC1806,Linsitinib,0.977712
GAK,Nilotinib,0.947702
Detroit562,Tamoxifen,0.8728600000000001
HT-144,Lapatinib,0.855834
IA-LM,Leflunomide,0.9641649999999999
HCT-15,Sorafenib,0.880036
MC-CAR,Leflunomide,0.889741
MKN7,Afatinib,0.782324
A3-KAW,Leflunomide,0.789493
CADO-ES1,Ruxolitinib,0.958842
L-428,Sorafenib,0.847491
SK-ES-1,Vorinostat,0.755035
NCI-H2228,Linsitinib,0.8445360000000001
HCC-366,Crizotinib,0.9742069999999999
CPC-N,Ulixertinib,0.8824709999999999
SNG-M,Tamoxifen,0.971726
MS751,Afatinib,0.923916
KARPAS-1106P,Palbociclib,0.877555
NCI-H209,Gefitinib,0.987894
KYSE-140,Sorafenib,0.858088
EJM,Palbociclib,0.986632
SNU-398,Afatinib,0.8598979999999999
SK-LU-1,Gefitinib,0.9717620000000001
MS-1,Palbociclib,0.9862549999999999
SK-HEP-1,Staurosporine,0.49659200000000003
Detroit562,Linsitinib,0.9643010000000001
23132-87,Navitoclax,0.706861
SNU-182,Dabrafenib,0.970168
BALL-1,Crizotinib,0.9778870000000001
LS-123,MK-1775,0.683994
MM1S,Lapatinib,0.993252
SW900,MK-1775,0.777874
SW872,Dasatinib,0.89551
CAL-120,Tamoxifen,0.9546889999999999
CAL-27,Palbociclib,0.9678479999999999
NCI-H322M,Dasatinib,0.699684
NCI-H1155,Leflunomide,0.8444790000000001
OV-56,Nilotinib,0.975777
TCCSUP,Gefitinib,0.9560639999999999
NCI-H2122,Gefitinib,0.943865
NCI-H661,Tamoxifen,0.9171520000000001
Ca9-22,Lapatinib,0.669983
NCI-H1155,Dasatinib,0.98634
A101D,Palbociclib,0.932066
RS4-11,Afatinib,0.847568
EW-13,Leflunomide,0.8489680000000001
WM793B,Crizotinib,0.9823069999999999
SW756,Leflunomide,0.866925
KCL-22,Crizotinib,0.9283049999999999
NCI-H1838,Ulixertinib,0.9740985000000001
EW-16,Trametinib,0.9148729999999999
HSC-4,Tamoxifen,0.957232
CAPAN-1,Staurosporine,0.507379
SHP-77,Lapatinib,0.8886200000000001
SK-N-AS,Crizotinib,0.955518
G-401,Erlotinib,0.950307
SK-N-DZ,Navitoclax,0.570513
HO-1-u-1,Palbociclib,0.8640120000000001
ONS-76,Osimertinib,0.970619
HeLa,Palbociclib,0.983317
RERF-LC-KJ,Linsitinib,0.951516
G-402,Crizotinib,0.9737110000000001
KARPAS-45,Staurosporine,0.16836700000000002
A204,Crizotinib,0.985849
Hs-578-T,Osimertinib,0.980936
GOTO,Vinblastine,0.721018
KINGS-1,Ulixertinib,0.908557
COLO-684,Leflunomide,0.845341
DK-MG,MK-1775,0.862507
NCI-H810,Linsitinib,0.9752790000000001
HT-144,Gefitinib,0.975764
NCI-H835,Sorafenib,0.824931
SW756,Trametinib,0.8897870000000001
TE-1,Palbociclib,0.971851
EoL-1-cell,Navitoclax,0.348612
KMS-12-BM,Dasatinib,0.947081
MFE-280,Erlotinib,0.979151
NCI-H2722,Staurosporine,0.692176
PCI-30,Tamoxifen,0.9173879999999999
Hs-578-T,Vorinostat,0.722439
NCI-H2170,Crizotinib,0.9885280000000001
SCC-4,Dabrafenib,0.9857899999999999
RD,Linsitinib,0.9037629999999999
WSU-NHL,Leflunomide,0.895453
ES8,Dabrafenib,0.990864
Mo-T,Trametinib,0.967817
SK-GT-2,Ulixertinib,0.925593
PF-382,MK-1775,0.45685600000000004
A673,Ulixertinib,0.8879870000000001
T98G,Osimertinib,0.985067
CCK-81,MK-1775,0.534207
HO-1-u-1,Ulixertinib,0.9329850000000001
LC-1-sq,Afatinib,0.847618
K5,Daporinad,0.868552
ACHN,Lapatinib,0.82814
NCI-H1755,Daporinad,0.749816
NCI-H522,Afatinib,0.8956280000000001
DAN-G,Ruxolitinib,0.979123
HT-1080,MK-1775,0.7576390000000001
MOLT-4,Lapatinib,0.957925
SNU-407,MK-1775,0.6830689999999999
SU-DHL-5,Leflunomide,0.746185
L-1236,Erlotinib,0.978139
HO-1-u-1,Nilotinib,0.9219040000000001
RD,Vinblastine,0.7387560000000001
SW684,Trametinib,0.864265
NAMALWA,Osimertinib,0.9647469999999999
CAL-72,Ulixertinib,0.8793435000000001
MKN1,Crizotinib,0.9722270000000001
ME-1,Nilotinib,0.981139
MS-1,Lapatinib,0.891395
HuO-3N1,Afatinib,0.9041620000000001
G-402,Linsitinib,0.954522
HO-1-N-1,Ruxolitinib,0.983044
BE-13,Gefitinib,0.985008
SH-4,Crizotinib,0.9873139999999999
LS-123,Navitoclax,0.654485
NOS-1,Afatinib,0.8053239999999999
MLMA,Ulixertinib,0.9610190000000001
NCI-H23,Lapatinib,0.981569
TE-1,Osimertinib,0.883386
OV-56,Sorafenib,0.934059
SW1573,Gefitinib,0.9783649999999999
NCI-H2461,Palbociclib,0.9370120000000001
CHP-134,Crizotinib,0.9862879999999999
NCI-H2373,Vorinostat,0.7904760000000001
CESS,Navitoclax,0.477415
MKN7,Gefitinib,0.9058379999999999
PEO1,Navitoclax,0.890266
COR-L32,Ulixertinib,0.9800985000000001
KURAMOCHI,Sorafenib,0.9326260000000001
MFM-223,Afatinib,0.8897149999999999
LoVo,Sorafenib,0.8794870000000001
SK-N-AS,Ulixertinib,0.8298205000000001
CL-11,Staurosporine,0.631273
Hey,Navitoclax,0.962577
NCI-H1623,Sorafenib,0.9062110000000001
SW1088,Vorinostat,0.871157
RPMI-8866,Dabrafenib,0.952068
NCCIT,Dasatinib,0.993419
KP-3,MK-1775,0.8611690000000001
CAMA-1,Tamoxifen,0.9349059999999999
NEC8,Dasatinib,0.9960200000000001
A2780,Lapatinib,0.8065060000000001
TT2609-C02,Osimertinib,0.9512790000000001
HCC-827,Vorinostat,0.8382870000000001
U251,Dabrafenib,0.9693719999999999
PANC-08-13,Sorafenib,0.9691870000000001
KYAE-1,Palbociclib,0.962284
LN-18,Staurosporine,0.26350100000000004
YAPC,Palbociclib,0.949569
DOV13,MK-1775,0.61851
OAW-42,Sorafenib,0.899734
U-87-MG,Ulixertinib,0.936413
OCI-M1,Linsitinib,0.961936
CL-11,Dabrafenib,0.9356530000000001
HPAC,Palbociclib,0.960967
SK-MEL-2,Lapatinib,0.989029
LK-2,Staurosporine,0.405393
KMRC-1,Vinblastine,0.85359
SNU-1040,Linsitinib,0.9696540000000001
SNU-16,Vinblastine,0.41849899999999995
FU-OV-1,Ulixertinib,0.8988075000000001
FLO-1,Sorafenib,0.940055
42-MG-BA,MK-1775,0.8694270000000001
VA-ES-BJ,Vorinostat,0.870315
Hs-746T,Ulixertinib,0.8655415000000001
P12-ICHIKAWA,Vorinostat,0.554183
KARPAS-45,Trametinib,0.983094
ML-2,Navitoclax,0.479394
RT4,Afatinib,0.891921
MHH-ES-1,Erlotinib,0.981715
RCC10RGB,Sorafenib,0.920351
KLE,Ulixertinib,0.9367344999999999
HLE,Dabrafenib,0.988224
CCK-81,Leflunomide,0.884481
UACC-812,Palbociclib,0.93976
SKN-3,Ruxolitinib,0.9805719999999999
KP-4,Dasatinib,0.9766459999999999
SKG-IIIa,Daporinad,0.734675
ALL-SIL,Vorinostat,0.674484
CAL-78,Dasatinib,0.9271860000000001
UMC-11,Ulixertinib,0.917939
NCI-H69,Dasatinib,0.979866
NCI-N87,Ruxolitinib,0.962633
JURL-MK1,Staurosporine,0.193829
D-392MG,Lapatinib,0.977987
CAL-27,Staurosporine,0.41639
IST-MEL1,Afatinib,0.8839110000000001
TOV-21G,Ruxolitinib,0.959573
SKN-3,Palbociclib,0.973941
U-118-MG,Erlotinib,0.944643
COR-L32,Staurosporine,0.177833
SW1417,Vinblastine,0.910723
HCC1395,Osimertinib,0.970576
ES4,Crizotinib,0.9864459999999999
U-118-MG,Palbociclib,0.935341
MES-SA,Afatinib,0.8928520000000001
T47D,Lapatinib,0.90317
J82,Afatinib,0.945659
CAL-27,Crizotinib,0.973447
JIMT-1,Nilotinib,0.957791
CHL-1,Leflunomide,0.891626
PC-3,Osimertinib,0.940465
NCI-H2085,Sorafenib,0.9389569999999999
SW872,Staurosporine,0.373797
GR-ST,Tamoxifen,0.850563
CADO-ES1,Erlotinib,0.90851
KM-H2,Vorinostat,0.8066909999999999
MOLM-13,Ulixertinib,0.8330069999999999
OVCA420,Staurosporine,0.432075
CAL-85-1,Nilotinib,0.934293
KG-1,Lapatinib,0.9905209999999999
NCI-H1869,Vorinostat,0.8205790000000001
NCI-H1963,Linsitinib,0.9197139999999999
